Country Name,Year,CO2 (kt)
India,2011,2074344.89
India,2010,1950950.34
India,2009,1965820.03
India,2008,1793074.99
India,2007,1611199.13
India,2006,1504364.75
India,2005,1411127.61
India,2004,1348524.58
India,2003,1281913.53
India,2002,1226791.18
India,2001,1203843.1
India,2000,1186663.2
India,1999,1144390.03
India,1998,1071911.77
India,1997,1043939.9
India,1996,1002224.1
India,1995,920046.63
India,1994,864931.62
India,1993,814297.69
India,1992,783634.23
India,1991,737851.74
India,1990,690576.77
India,1989,662945.93
India,1988,606298.11
India,1987,561560.71
India,1986,525862.47
India,1985,490464.92
India,1984,447109.98
India,1983,432320.97
India,1982,398419.55
India,1981,374822.41
India,1980,348581.35
India,1979,331940.51
India,1978,318035.24
India,1977,315681.03
India,1976,263785.65
India,1975,252201.59
India,1974,231992.76
India,1973,224343.39
India,1972,217849.14
India,1971,205869.05
India,1970,195143.07
India,1969,190724.34
India,1968,187336.03
India,1967,172238.99
India,1966,171765.95
India,1965,165972.09
India,1964,150647.69
India,1963,154083.67
India,1962,143467.71
India,1961,130402.19
India,1960,120581.96
